id,entity_id,category_id,,,,,,,
,34,,#N/A,#N/A,ROSARIO BOLSAS SRL,,Fabricación de bolsas de materiales textiles para productos a granel,Fabricación de artículos de lona y sucedáneos de lona,
,35,,#N/A,#N/A,ISI MUSTANG ARGENTINA SA,www.isi-solutions.net,Fabricación de maquinaria y equipo de uso especial n.c.p.,Fabricación de maquinaria y equipo de uso especial n.c.p.,
,36,,#N/A,#N/A,MEKANO SRL,www.mekanoar.com,Fabricación de productos metálicos para uso estructural,"Actividades especializadas de construcción n.c.p. (Incluye el alquiler, montaje y desmantelamiento de andamios, la construcción de chimeneas y hornos industriales, el acorazamiento de cajas fuertes y cámaras frigoríficas, el armado e instalación de compuertas para diques, etc.)",
,37,,#N/A,#N/A,SA DE CONSTRUCCION Y MONTAJE DON FIERRO,www.donfierro.com.ar,Fabricación de productos metálicos para uso estructural,"Construcción, reforma y reparación de edificios no residenciales (Incluye construcción, reforma y r",
,38,,#N/A,#N/A,ALBORNOZ MARCELO ALEJANDRO Y PEREZ LEANDRO SEBASTIAN SH,,Fabricación de carpintería metálica,,
,39,,#N/A,#N/A,FALFER SA,www.falfersa.com.ar,Fabricación de equipo eléctrico n.c.p.,"Venta al por menor de artículos nuevos n.c.p. (Incluye la venta realizada en casas de regalos, de artesanías, pelucas, de artículos religiosos -santerías-, recarga de matafuegos, etc.)",
,40,,#N/A,#N/A,AR MONT MADERAS SA,www.armont.com.ar,Aserrado y cepillado de madera implantada,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)",
,41,,#N/A,#N/A,SERVICIOS PARA LA INDUSTRIA Y MINERIA SRL,www.ceitucuman.com.ar,Fabricación de equipo eléctrico n.c.p.,"Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natural",
,42,,#N/A,#N/A,ATENEA LIVING SRL,,"Fabricación de muebles y partes de muebles, principalmente de madera","Venta al por menor de muebles para el hogar, artículos de mimbre y corcho",
,43,,#N/A,#N/A,DALAGI GROUP SA,www.telnet.com.ar,Fabricación de cojinetes engranajes trenes de engranaje y piezas de transmisión,"Servicios inmobiliarios realizados por cuenta propia, con bienes rurales propios o arrendados n.c.p.",
,44,,#N/A,#N/A,METALURGICA AQUILES TREGNAGHI SACIFI,,"Fabricación de cerraduras, herrajes y artículos de ferretería n.c.p.",,
,45,,#N/A,#N/A,INDUSTRIAS BARTOLI HNOS SRL,www.bartolihnos.com.ar,"Fabricación de tanques, depósitos y recipientes de metal (Incluye la fabricación de silos)",Fabricación de maquinaria y equipo de uso especial n.c.p.,
,46,,#N/A,#N/A,MOBEL ART SA,www.mobelart.com.ar,"Fabricación de muebles y partes de muebles, principalmente de madera","Venta al por mayor de muebles e instalaciones para la industria, el comercio y los servicios n.c.p.",
,47,,#N/A,#N/A,INDUSTRIAS EL ALTO SA,www.elaltosa.com,"Fabricación de muebles y partes de muebles, principalmente de madera",,
,48,,#N/A,#N/A,MATERYN EQUIPAMIENTOS SRL,www.materyn.com,"Fabricación de muebles y partes de muebles, principalmente de madera",Venta al por mayor de muebles e instalaciones para oficinas,
,49,,#N/A,#N/A,METALURGICA FIORITO SRL,www.metalurgicafiorito.com.ar,Fabricación de carpintería metálica,Fabricación de productos metálicos para uso estructural,
,50,,#N/A,#N/A,MAMPARAL SRL,www.mamparal.com,Fabricación de carpintería metálica,"Construcción, reforma y reparación de edificios no residenciales (Incluye construcción, reforma y r",
,51,,#N/A,#N/A,LABEL GROUP SRL,www.openpack.com.ar,Fabricación de artículos de papel y cartón n.c.p. (No incluye el papel de lija: 239900),"Impresión n.c.p., excepto de diarios y revistas",
,52,,#N/A,#N/A,ACP SRL,,Fabricación de artículos de papel y cartón n.c.p. (No incluye el papel de lija: 239900),,
,53,,#N/A,#N/A,POLHER SRL,www.polher.com.ar,Fabricación de envases plásticos,Venta al por mayor de envases de papel y cartón,
,54,,#N/A,#N/A,CUM SRL,,Tratamiento y revestimiento de metales y trabajos de metales en general,Fabricación de maquinaria y equipo de uso especial n.c.p.,
,55,,#N/A,#N/A,NEUMATICOS OSVALDO OBERMANN E HIJOS SRL,,Recauchutado y renovación de cubiertas,Venta al por menor de cámaras y cubiertas,
,56,,#N/A,#N/A,HAUSER SRL,,"Confección de prendas de vestir n.c.p., excepto prendas de piel, cuero y de punto","Venta al por mayor de prendas y accesorios de vestir n.c.p., excepto uniformes y ropa de trabajo",
,57,,#N/A,#N/A,EXTRUDER SRL,www.extruder.com.ar,Fabricación de envases plásticos,Fabricación de artículos de papel y cartón de uso doméstico e higiénico sanitario,
,58,,#N/A,#N/A,DUOPACK SRL,www.duopack.com.ar,Fabricación de envases plásticos,,
,59,,#N/A,#N/A,BURKOOL SA,www.inta.gob.ar,Fabricación de productos de caucho n.c.p.,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",
,60,,#N/A,#N/A,RECICLADOS SANTA FE SRL,,Fabricación en industrias básicas de productos de hierro y acero n.c.p. (Incluye la producción de hojalata),Recuperación de materiales y desechos metálicos,
,61,,#N/A,#N/A,SUPERTEX SA,www.supertex.com.ar,Fabricación de accesorios de vestir excepto de cuero,Fabricación de productos textiles n.c.p.,
,62,,#N/A,#N/A,TOOL SHOP SRL,www.tool-shop.com.ar,Fabricación de bombas 2,"Fabricación de motores, generadores y transformadores eléctricos",
,63,,#N/A,#N/A,VAICRIL SA,,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)",,
,64,,#N/A,#N/A,RCT TYRE SA,www.camarascolla.com,Fabricación de productos de caucho n.c.p.,,
,65,,#N/A,#N/A,Q H INGENIERIA Y SERVICIOS SA,,Fabricación de productos metálicos para uso estructural,"Alquiler de maquinaria y equipo n.c.p., sin personal",
,66,,#N/A,#N/A,METALURGICA Y SERVICIOS RODO SRL,,Fabricación de productos metálicos para uso estructural,"Construcción, reforma y reparación de edificios no residenciales (Incluye construcción, reforma y r",
,67,,#N/A,#N/A,JOSE CASCASI Y CIA SA,www.josecascasi.com.ar,Fabricación de productos metálicos para uso estructural,"Fabricación de tanques, depósitos y recipientes de metal (Incluye la fabricación de silos)",
,68,,#N/A,#N/A,APRILON SA,,Fabricación de hilados textiles de algodón y sus mezclas,Fabricación de tejidos de punto,
,69,,#N/A,#N/A,BUCO SACI,www.buco.com.ar,Fabricación de productos de caucho n.c.p.,,
,70,,#N/A,#N/A,WARBEL SA,www.warbel.com.ar,Fabricación de productos de caucho n.c.p.,Servicios de limpieza general de edificios,
,71,,#N/A,#N/A,VEMAR SRL,www.ollas-sartenes.com.ar,Fabricación de artículos de cuchillería y utensilios de mesa y de cocina,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)",
,72,,#N/A,#N/A,CULPINA SA,www.carroceriasculpina.com.ar,Fabricación de carrocerías para vehículos automotores fabricación de remolques y semirremolques,,
,73,,#N/A,#N/A,TEXTIL CALCHAQUI SACIFI,www.textilcalchaqui.com.ar,"Fabricación de tejidos (telas) planos de fibras textiles n.c.p., incluye hilanderías y tejedurías integradas",Venta al por mayor de mercancías n.c.p.,
,74,,#N/A,#N/A,OCCHIPINTI HNOS SA,www.occhipinti.com.ar,Fabricación de carpintería metálica,,
,75,,#N/A,#N/A,POLIURETANOS CATAMARCA SA,www.flexigom.com,Fabricación de somieres y colchones,,
,76,,#N/A,#N/A,TRYMO SRL,www.trymo.com,Fabricación de envases plásticos,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",
,77,,#N/A,#N/A,LABORATORIOS PLASTICOS SA,,Fabricación de envases plásticos,,
,78,,#N/A,#N/A,IMAP PET SA,www.gerresheimer.com,Fabricación de envases plásticos,Venta al por mayor de artículos de plástico,
,79,,#N/A,#N/A,GRAFIC CENTER SA,www.graficcenter.com,"Impresión n.c.p., excepto de diarios y revistas",Impresión de diarios y revistas,
,80,,#N/A,#N/A,COPILEIDY SERVICIO GRAFICO INTEGRAL SRL,www.copileidy.com,"Impresión n.c.p., excepto de diarios y revistas",Servicios relacionados con la impresión,
,81,,#N/A,#N/A,FAME FABRICA ARGENTINA DE MAQUINAS Y EQUIPOS SA,www.famesa.com.ar,"Fabricación de heladeras, freezers, lavarropas y secarropas","Fabricación de cocinas, calefones, estufas y calefactores no eléctricos",
,82,,#N/A,#N/A,ANDRES MORETTI E HIJOS SA,www.moretti.com.ar,"Fabricación de aparatos de uso doméstico n.c.p. (Incluye enceradoras, pulidoras, batidoras, licuadoras y similares)",Servicios personales n.c.p.,
,83,,#N/A,#N/A,WILERS SRL,www.icpaz.com.ar,"Fabricación de calzado de cuero, excepto calzado deportivo y ortopédico","Fabricación de calzado de materiales n.c.p., excepto calzado deportivo y ortopédico",
,84,,#N/A,#N/A,METALURGICA CARLOS A PARDO SRL,www.metalpardo.com.ar,Fabricación en industrias básicas de productos de hierro y acero n.c.p. (Incluye la producción de hojalata),Servicio de transporte automotor de cargas n.c.p. (Incluye servicios de transporte de carga refrigerada y transporte pesado),
,85,,#N/A,#N/A,VIVIENDAS DON PALACIOS SRL,www.viviendadonpalacios.com.ar,Fabricación de premoldeadas para la construcción,Fabricación de viviendas prefabricadas de madera,
,86,,#N/A,#N/A,BOZZANO Y SANCHEZ SH,www.neonlife.com.ar,"Fabricación de carteles, señales e indicadores -eléctricos o no-","Reparación y mantenimiento de productos de metal, excepto maquinaria y equipo",
,87,,#N/A,#N/A,IMPRESO SA,www.impreso.com.ar,"Fabricación de carteles, señales e indicadores -eléctricos o no-",Servicios relacionados con la impresión,
,88,,#N/A,#N/A,CREACIONES MA YO FAVEN SRL,www.faven.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Venta al por mayor de mercancías n.c.p.,
,89,,#N/A,#N/A,CANOS PONTEVEDRA SA,https://cañospontevedra.com.ar,"Fabricación de artículos de cemento, fibrocemento y yeso excepto hormigón y mosaicos",,
,90,,#N/A,#N/A,BREFIL SC P A,www.brefilsca.com.ar,Fabricación de productos elaborados de metal n.c.p.,"Servicios inmobiliarios realizados por cuenta propia, con bienes urbanos propios o arrendados n.c.p.",
,91,,#N/A,#N/A,MUSACCHIO SA,www.edca.com.ar,Tratamiento y revestimiento de metales y trabajos de metales en general,"Movimiento de suelos y preparación de terrenos para obras (Incluye el drenaje, excavación de zanjas",
,92,,#N/A,#N/A,IDEAS VETRO SA,www.ceramicapiu.com,Fabricación de revestimientos cerámicos,,
,93,,#N/A,#N/A,BASE 5 SA,www.base-5.com.ar,Fabricación de equipamiento e instrumentos ópticos y sus accesorios,"Venta al por mayor de artículos de óptica y de fotografía (Incluye venta de lentes de contacto, líquidos oftalmológicos, armazones, cristales ópticos, películas fotográficas, cámaras y accesorios para fotografía, etc.)",
,94,,#N/A,#N/A,LANHIL SAIC,,"Fabricación de hilados textiles de lana, pelos y sus mezclas",,
,95,,#N/A,#N/A,BIEMME ARGENTINA SA,www.biemme.com.ar,Fabricación de juegos y juguetes,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",
,96,,#N/A,#N/A,MANGUERAS HIDRAULICAS SA,www.cablenet.com.ar,Fabricación de productos de caucho n.c.p.,,
